,index,NO,song,group,lyrics
109,110,7,Take_It,Ive, take it take it take it take it yeah take it take it oh yeah yeah yeah yeah take it take it  are you hesitating about baby so picky picky a stuffy nerd baby baby just take it take it the routine that pushed and pulled baby not fun i dont need it im sassy sassy so curious not not not not too serious worry hurry up so picky picky the clumsy calculations just take it take it  pretend youre not because its boring sometimes panic panic uh because its cliché  eyes sharp gestures although i look cute i cant approach you easily take it take it take it just take it take it stupid stupid i keep doing this toxic toxic if eeryone wants me i cant come to you that easily picky picky picky so picky picky you suddenly get twisted heyayaya get you again heyayaya might be surprised by my hidden claws you keep bothering me heyayaya  so curious not not not not too serious worry hurry up so picky picky the clumsy calculations no way  pretend youre not because its boring sometimes panic panic uh because its cliché eyes sharp gestures although i look cute i cant approach you easily take it take it take it just take it take it stupid stupid i keep doing this toxic toxic if eeryone wants me i cant come to you that easily picky picky picky so picky picky  a pretty cat you stretch out your hand as if possessed got it all wrong im going to ride like a kid or stop oohlala pretend youre not because its boring sometimes panic panic uh because its cliché dont know where to jump oh eyes sharp gestures and eyes i look cute i cant approach you easily it take it take it yeah just take it take it stupid stupid take it take it take it take it i keep doing this toxic toxic toxic toxic toxic toxic if eeryone wants me i cant come to you that easily picky picky picky so picky picky
110,111,1,Shut_Down,BLACKPINK,blackpink area it’s comeback since we’e neer left heads turning careful you’ll strain neck pink ice drip drip drip freeze sight shut what a it’s game since we’e neer lost leash neck mine flooring gas pedal go two zero fie shut uh uh uh uh a make rain don’t trip baby humble sit baby a praying downfall many tried baby catch hear lamborghini go room room room room a pull know it’s shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it it’s black it’s pink sun down a0 pull know it’s shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it keep watching shut down a nah don’t wanna bad side that’s right i’m slidin through bunch wannabes wan na three you around world pearls ya girl s s inested uh need lesson see necklace see dresses don92t buy request uh a0 rockstar popstar rowdier say bye paparazzi get good side ll smile ya know ain92t fair ya it92s scarin ya like now blackpink area area shut down it’s shutdown a you’re looking next answer key don92t sleep baby flip it’s price tag ain’t cheap baby a stay lane i’m swere catch hear lamborghini go room room room room a pull know it’s shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it it’s black it’s pink sun down a pull know it’s shutdown pull shutter lock door shut down whip whip whip whip it whip whip whip whip it keep watching shut down a shut blackpink area shut woah woah woah woah shut blackpink area keep talking shut
111,112,2,Pink_Venom,BLACKPINK,door waing coco eat popcorn don’t think cutting in talk talk runways walk walk eyes closed pop pop need look one one two two eerything collapses flick fingertip quite fancy fake show makes sense couldn’t get dollar outta me a it’s tonight i’m flower enom taking soul look made us do fire that’ll slowly put sleep beautiful it’s brutal bring pain like pink enom pink enom pink enom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah a taste pink enom taste pink enom taste pink enom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah a black paint ammo got bodies like rambo rest peace please light candle da life andal masked i’m still celine designer crimes wouldn’t me a diamonds shinin drie silence don’t mind i’m ridin’ flyin’ priate side side da pilot sky i’m wildin’ stylin’ there’s chance cuz got bodies bodies like slow dance a it’s tonight i’m flower enom taking soul look made us do fire that’ll slowly put sleep beautiful it’s brutal bring pain like pink enom pink enom pink enom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah a taste pink enom taste pink enom taste pink enom get get get ya dome like whoa whoa whoa straight ya dome like ah ah ah a0 prooke us you’d like can’t handle know this a already spread shot potion pink ocean right eyes come gie smoke nothing like i’m rock roll a come gie smoke line stop drop a bring pain like a la tatata la tatata la tatata la tatata la tatata la tatata a straight ya straight ya straight ya dome like a la tatata la tatata la tatata la tatata la tatata la tatata a bring pain like
112,113,3,Lovesick_Girls,BLACKPINK,loesick girls loesick girls night loe trapped us in a windowless room loe what can we say long for loe een though it hurts eery time loe hurt and break down i dont know whats keeping me to hold on if i leae anyway ill hate you in my pained state we cant end it before its oer its as if wee been waiting for this agony its all just for a moment what are we looking for so aimlessly i dont care ill do it oer and oer i just need you in my life we are the loеsick girls you cant just end this loe on your own we arе the loesick girls im nothing without this pain we were born to be alone yeah we were born to be alone yeah we were born to be alone but why we still looking for loe loe letters no x and os no loe neer my exes know no diamond rings that set in stone to the left better left alone wanna be a princess im priceless a prince not een on my list loe is a drug that i quit no doctor could help when im loesick its all just for a moment what are we looking for so aimlessly at you with my anxious gaze youre all i need een if it hurts we are the loesick girls you cant just end this loe on your own we are the loesick girls im nothing without this pain we were born to be alone yeah we were born to be alone yeah we were born to be alone but why we still looking for loe is slippin and fallin loe is killin your darlin that fearless thrill returns once the pain subsides hear what you say im happy with this pain you pity me but i pity you more for pitying me we are the loesick girls you cant just end this loe on your own we are the loesick girls im nothing without this pain  one two loesick girls eentually leaes loesick girls become numb from crying loesick girls oer and oer again loesick girls were still looking for loe
113,114,4,As_If_It%27s_Your_Last,BLACKPINK,make keep thinking pride bruised i’m burning up face hot heart keeps racing can’t control body i’m getting dizzy you’re like fistful sand it’s like hold can’t you’re easy that’s want more can’t control heart it’s ridiculous a feel breath wanting right now een i’m looking i’m missing you i’m bad won’t set free a baby hold till explode stop thinking what’s hard a kiss like it’s lie i’m last loe a it’s last it’s last it’s last night loe it’s last it’s last there’s tomorrow a uh imma fall loe baby gonna finna catch me uh gie baby call pretty nasty cause gonna get it loe bet on black gonna double stack whoa bonnie and clyde ride die xs os a0 time ticking i’m getting impatient world missing you i’m bad won’t set free a baby hold till explode stop thinking what’s hard a kiss like it’s lie i’m last loe a it’s last it’s last it’s last night loe it92s last it’s last there’s tomorrow a one two three it’s new beginning cause won’t eer look back a throw you please catch me world can’t bring us down a blackpink area a baby hold till explode stop thinking what’s hard a kiss like it’s lie i’m last loe a it’s last it’s last it’s last night loe it’s last it’s last there’s tomorrow loe
114,115,5,How_You_Like_That,BLACKPINK,area eyes fell below hitting rock bottom m sinking deep grab s left hope hands begging something reach dark place imma light sky look eyes and ll kiss goodbye laugh want cause s almost time ready 3 2 1cb1 ho how like gon like thatthatthatthat thatthatthatthat like badabing badaboomboomboom like thatthatthatthat thatthatthatthat look look at look look look look like look look look look me look look at like girl need all s hundred 10 10 want got it kaa come get some might feel bad what gonna about s m right back pull trigger cocked back plain jane get highjacked nt like tell me like like that1 though m dark still shine like stars flash smile ll kiss goodbye laugh want cause s almost time ready 3 2 1cb1 ho like gon like thatthatthatthat thatthatthatthat like badabing badaboomboomboom like thatthatthatthat thatthatthatthat look look at look look me look look at like look look at look look me look look at like day fell without wings sky days trapped dark searching light known got running life look sky its bird s plane yeaheaheaheah bring boss bitch yeaheaheaheah blackpink du du du du du du du du du du du like ddududududududududududoo you gonna like du du du du du du du du du du du like ddududududududududududoo
115,116,6,Playing_With_Fire,BLACKPINK,mom says baby careful of boys hurt let go loe like playing fire you are bound get hurt eh een its true cant control loe look you heart beats fast burn up bad is really feel want loe eh cant stop way make feel on let us together me let world look look now burning like fire burn you are around you play fire burn down loe fire burn baby burn well burn down loe fire do not play boy well burn down oh I am deep m trapped inside world kept playing is not game anymore loe like fire burning flames mind make bigger want it good bad cant control want you I hae robbed took heart maybe told ya come pour oil inside heart its burning rhythm kiss diss him do not know miss him might burning but ill break crack heart is not red it is black cant stop way make feel on let us together me cause want loe burn look look now burning like fire I burn you are around  you play fire burn down loe fire burn baby burn we will burn down loe fire don92t play boy we will burn down can not control heat inside can not control this fire burning inside me baby lets burn loe up don92t stop let us burn tonight oh
116,117,7,Ready_For_Love,BLACKPINK,thing fills head today you can not get head color bottle drained night blue a yeah do not know many times you hae thrown away heart train thought running nonstop keeping night a yeah you are need yeah it is you are need call me yeah although it is you are need still like it is you a there is need wait now need afraid show color heart a really need world open eyes front you a i’m ready loe a tell you are ready cuz i’m already ready tell you are ready cuz a I am ready loe I am ready loe I am ready loe I am ready loe I am ready loe a ready come I am running like it is neer neer know want it loe was not supposed there92s romeo hope roses notes read keep eyes closed see need foreer foreer baby sometimes want best come find cuz I am ready a there is need wait now need afraid show color heart a really need world open eyes in front you a I am ready loe a tell you are ready cuz I am already ready tell you are ready cuz a I am ready loe I am ready loe I am ready loe I am ready loe I am ready loe a spirit eerything you make ecstatic make smile nothing bad it a throw me protect you a lalala lalalala lalala lalalala lalala lalalala lalala lalalala
117,118,8,Forever_Young,BLACKPINK,leae stay could stop this time once eh tonight could die moment foreer young foreer young foreer young foreer young appearence eyes feels like first time met you flames fire without sound feel like first kissc eer gae you moonlight heart beating let s go dance under milky way let s go right let go lets regrets let s let time break us apart let s make moment eternal light fire heart make youth on fire without regrets stay like right tonight could die moment foreer young foreer young foreer young foreer young eery eery night night sing sing song know got bomb bomb come come again foreer young boy ride die till tomorrow ride sunset you side side pinked murdered like aint nothing need nothing heroes say life s bitch well mine s moie like diamond ll shine together wheneer whereer foreer eer eer thrillingly dangerously go end world let s go right let go lets regrets let s let time break us apart let s make moment eternal light fire heart make youth on fire without regrets stay like right tonight could die moment foreer young moon rises like dance body lets ride end like party moon rises like dance body lets ride end like party girls wan na fun go dumb dumb dumb girls wan na fun want want want girls wan na fun go dumb dumb dumb girls wan na fun ai nt done done done whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum whatta bum bum
118,119,9,Ddu-Du_Ddu-Du,BLACKPINK,ah yeah ay yeah blackpink ah yeah ay yeah got cute face bet I am looking pretty fragile attitude twice size ll meet battle ll come around knock you look prepare damage black pink watch it re pretty saage keep lit like matchstick bitch star patrick m getting cake s fact check hands full dem fat checks expectations higher it is like fish water I am little m toxic you hae fallen m foxy ll think twice s so hard fake act nice please do not get wrong see smiling s playing along m cut wanna test m seeing right hae picked something easy oh wait til hit ddudu ddudu du ah yeah ay yeah hit ddudu ddudu du ah yeah ay yeah blackpink m getting money hundreds gq s spread like hummus bullshit birds comin ima say shit m man run it drop like got hot track wan na knock got another banger real talk ima let s talk see billions better call banker ll think twice s so hard fake act nice please do not get wrong see smiling s playing along m cut to wanna test m seeing right you hae picked something easy oh wait til hit ddudu ddudu du ah yeah ah yeah hit ddudu ddudu du ah yeah ah yeah ddudu ddudu du gonna i come come with uh uhhuh gonna i come come with uh uhhuh hot hot hot like fire dudududu hot hot hot like fire dudududu blackpink hey ah yeah ay yeah ah yeah ay yeah hot hot hot like fire hot hot hot like fire hit ddudu ddudu du
119,120,11,Kill_This_Love,BLACKPINK,yeah yeah blackpink area yeah yeah yeah a heaenly hi there is always infernal bye crazy high there is price pay there is answer test I will always fall yes I am slae emotions screw heartless loe a come kick door gie strongest thing hae typical typical loe gie gie more I am hanging edge cliff one word I am smiling like silly wa nerous feeling bright red fluttering felt like heaen but might get in a look look who is gonna hurt smart are cry tears blood eyes sorry are can not stand weak force coer eyes need cut oxygen loe a lets kill this loe yeah yeah yeah rum pum pum pum pum pum pum lets kill this loe yeah yeah yeah rum pum pum pum pum pum pum a feelin like sinner fire go boo hoo said look crazy thank baby owe you got messed up loe faorite plus sadly dangerous a0 lucky lucky you end lie what erase you sorry I am sorry cannot stand weak force coer eyes need cut oxygen loe a0 lets kill loe yeah yeah yeah rum pum pum pum pum pum pum lets kill loe yeah yeah yeah rum pum pum pum pum pum pum a commit loe makes cry we are making loe kills inside a must kill loe yeah it is sad true gotta kill this loe kills too kill this loe yeah it is sad true gotta kill loe gotta kill lets kill this loe
120,121,12,Stay,BLACKPINK,boy still ca not let go eeryday die little inside think us long time ago always though that one day d leae me one got away i want stay now sitting next me went away oh woke tears face laughed silliness woah wanted you m perfect girl een stay stay stay me oh remind melody beautiful kills day day way left felony really want hate can not days get longer nights get darker please not go away heart beats faster pray little harder please choose stay not een ask why re one take hand stay me goes little something like lalalalalala lalalalalala lalalalalalacb1 lalalalalala lalalalalala lalalalalala not een ask why re one take hand stay me said wanted stay are always leain neer tell where neer tells reason are gone can not tell hearts een beatin sometimes think s you lie breathe in stay know gotta tired night gets dark let fire world full lies truth your letter you oh remind melody beautiful kills day day way left felony really want hate can not days get longer nights get darker please not go away heart beats faster pray little harder please choose stay not een ask why are one take handstay me goes little something like lalalalalala lalalalalala lalalalalalacb1 lalalalalala lalalalalala lalalalalalacb1 not een ask why re one take hand stay me goes little something like lalalalalala lalalalalala lalalalalala lalalalalala lalalalalala lalalalalala not een ask why re one take hand stay
121,122,13,Typa_Girl,BLACKPINK,girl thatll make you wanna dream me girl that came straight off of the screen screen wanna iceu2005up make me freeze ha ha girl youu2005wanna wife up sign the pre  bring money to the table not your dinner both my body and my bank account good figure thinking about me but theres nothing to consider if i let you in my circle you a winner know that you were cold til you felt my fire heaens gate just opened up hearing choirs you saying something else you a liar  im that girl that drie you crazy but you cant leae me alone got you thinking maybe i went supernatural you under spells or look into a crystal ball im not like these other girls at all the typa girl that make you forget that you got a type type that make you loe me when the only thing you done is like that typa girl im that typa girl im that typa girl im that typa girl dududun dulululun like dududun dulululun the type of girl that eerybody type double tap tap tap what eerybody like you can check my stats got eerybodys eye and i run them laps round eerybodys mind of these girls on some uppercase shit that mean they all cap being the best at whateer i do thats sounding on brand girl that you wish for when you blow that candle out girl that you wanna take back to your mama house girl that dont ask for what she wants shes takin out girl who got bag in same quality as chanel you know that you were cold cause you felt my fire heaens gate just opened up hearing choirs you saying something else you a liar im that girl that drie you crazy but you cant leae me alone got you thinking maybe i went supernatural you under spells or look into a crystal ball im not like these other girls at all the type of girl that make you forget that you got a type type that make you loe me when the only thing you done is like that typa girl im that typa girl im that typa girl im that typa girl dududun dulululun like dududun dulululun
122,123,14,Pretty_Savage,BLACKPINK,uhhuh uhhuh uhhuh rrr blackpink area uhhuh uhhuh blackpink area uhhuh uhhuh think we are alike well I am opposite inside though put something buy born skinny bish weight don not matter I am model math kinda slow sense follow fame money said enough I am getting tired f boys boys therefore problem should not forget hit you ddu du ddu ducb1 got drip drip ice bust top bottom oh ohohoh black pink make lit like oh ohohoh bitches can not manage finish can not handle pretty we are saage pructty haful saage ooh bahdahbahbah better run run run ooh bahdahbahbah buctter run run run diamonds they yellow bright white got em blind can not find m outta sight mad stay mad alike saage keep it pretty pretty saage wore better you are 1 I am 1000 come outta nowhere watch rolling carpet black pink that howeer want it issues jealousy maybe I am problem oh ohohoh black pink make rain like oh ohohoh bitches can not manage finish can not handle pretty we92re saage pructty haful saage ooh bahdahbahbah better run run run ooh bahdahbahbah buctter run run run diamonds they yellow bright white got em blind cant find m outta sight mad stay mad alike saage keep it pretty pretty saage pretty girl biggest smile but I am weak i92m not wish would wind blowing yeah I am flying higher got nothing left say you want I will show attitude een do not say loud know saage watch watch pretty saage pretty pretty pretty pretty saage watch watch pretty saage pretty pretty pretty pretty
123,124,15,Boombayah,BLACKPINK,blackpink in your area blackpink in your area been a bad girl i know i am and im so hot i need a fan i dont want a boy i need a man clickclack badda bing badda boom muneul bakchamyeon modu nal barabom gudi aesseo noryeok an haedo modeun namjadeuleun kopiga pangpangpang pangpang parapara pangpangpang jigeum nal wihan chukbaereul jjanjjanjjan hands up nae sonen bottle full o henny nega malloman deuddeon gyaega naya jennie chumchuneun bulbicheun nal gamssago done black to the pink eodiseodeun teukbyeolhae oh yes chyeoda bodeun maldeun i wanna dance like ttaradaradanttan ttaradaradanttan ttudurubbau joha i bunwigiga joha joha nan jigeum nega joha jeongmal banhaesseo oneul bam neowa chumchugo sipeo boombayah yah yah yah boombayah yah yah yah boombayah yah yah yah yah boom boom ba boom boom ba 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah boom boom ba boombayah blackpink in your area ije dallyeoyaji mwol eotteokhae nan cheol eobseo geob eobseo man middle finger up f u pay me 90s baby i pump up the jam dallyeobwa dallyeobwa oppaya lambo oneuleun neowa na jeolmeumeul gamble gamhi nal makjima hoksina nuga nal makado im gonna go brrrr rambo e soni nae heorireul gamssago done front to my back nae mommaeneun teukbyeolhae oh yes ne nunbicheun i know you wanna touch like touch touch touch touch ttudurubbau joha i bunwigiga joha joha nan jigeum nega joha jeongmal meosisseo oneul bam neowa chumchugo sipeo boombayah yah yah yah boombayah yah yah yah boombayah yah yah yah yah boom boom ba boom boom ba 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah 오빠 yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah boom boom ba boombayah oneuleun maen jeongsin ttawin beorigo haneuleul neomeoseo olla gal geoya kkeuteul moreuge ppalli dalligo sipeo lets go lets go oneuleun maen jeongsin ttawin beorigo haneuleul neomeoseo olla gal geoya kkeuteul moreuge ppalli dalligo sipeo lets go lets go
124,125,16,Hard_to_Love,BLACKPINK,no magic tool to fix it you should keep your distance im only telling you because i care im hard to loe find it hard to trust when it feels too good i just fuck it up want all of me i cant gie that much so dont fall too hard cause im hard to loe hard to loe yeah meant to cause you a problem here i am yet once again with the same old story you dont see the issues i got em yeah i do yeah its true make it feel like heaen but i swear im not a saint and you wont see the truth cause ill be kissing it away ill be all you need until im driing you insane baby all im trying to do is sae you the pain im hard to loe find it hard to trust when it feels too good i just fuck it up want all of me i cant gie that much so dont fall too hard cause im hard to loe hard to loe yeah till im down im all in till im out got a lot to work out till its all behind me you know you dont with fire in the dark protect your heart aint no going back once you start im trying to be nice hard to loe yeah
125,126,17,Don%27t_Know_What_To_Do,BLACKPINK,someone stop time bit feel like big mistake happened a tried laugh awkwardly pity myself a do not know without you left alone triial place picture memories they are blue a people change like this pretty day like this eerything difficult a don not know do do not know without you do not know without you do not know without you a know i do not know do do not know do a like people came went guess were not meant be a wondering phone might ring hate anticipating uselessly tick tock clock is especially bothering me a might seem totally fine f do not know without you wonder feelings shown mirror lips I hae drawn blue a I am comfortable alone I am like that pretty day like this eerything difficult a do not know do do not know without you do not know without you do not know without you a know i do not know do do not know without you a say fine but do not know without you left alone triial place picture memories they are blue
126,127,18,Whistle,BLACKPINK,make em whistle like missile bomb bomb eery time show blow uh make em whistle like missile bomb bomb eery time show blow uh boy re beautiful can not forget all are giing insanity heart pounding boom boom 24 365 want right side day night want mine ooh ooh m girl eery guy would check keep coming me tell get out got eyes baby i aint asking much want loe heart attention touch re sick sick and are chic chic baby hot hot oh boy got going insanec will not call s ringing ears whistle now do not let go do not say goodbye oh know will not forget forget loe whoa heart burning like fire yes heart beating fast I am you go loe that is do hwiparam uh hwi param param param hear hwi parapara para bam hwiparam uh hwi param param param hwi parapara para bam hold do not say thing word whistle heart cause eerything do making heart go boom boom can not decide feel shh eery day day want zoom zoom uh yeah I am always stylin always cool chill I am darlin it is heating up like desert island get know fall loe come take come play game oh boy it is checkmate I am gonna win gotta check get taken anybody else will not let happen uh do not let go do not say goodbye oh know will not forget forget loe whoa heart burning like fire yes heart beating fast I am you go loe that do hwiparam uh hwi param param param hear hwi parapara para bam hwiparam uh hwi param param param hear hwi parapara para bam beat got feeling like hoping not hoping will not like breeze pass go s need words say come take me side m ohh make em whistle like missile bomb bomb eery time show blow uh
127,128,19,The_Happiest_Girl,BLACKPINK,dont hold my hand dont beg me back dont say that well make it through this if im so beautiful then why the doors we slammed the plates we smashed echo with the sound of madness i cant remember why we try my heart only wants you the moment you say no but tonight ill be the happiest girl in the world youll see like it doesnt matter tonight ill be the happiest girl in the world youll see like it neer happened i can stop the tears if i want to i can stop the tears if i want to i can stop the tears if i want to but tonight ill be the happiest girl in the world youll see like it neer happened dont make us saints were wards of pain the past and a perfect picture theres no one else to blame this time dont change the truth we cant undo the high we chase steal the crash no youre not the one who gets to cry my heart only wants you the moment you say no but tonight ill be the happiest girl in the world youll see like it doesnt matter tonight ill be the happiest girl in the world youll see like it neer happened i can stop the tears if i want to i can stop the tears if i want to i can stop the tears if i want to but tonight ill be the happiest girl in the world youll see like it neer happened all it takes is a smooth pop of a bottle top to fix a heart a broken heart baby all it takes is a little rolling paper take us to the start go back to the start but tonight ill be the happiest girl in the world youll see like it doesnt matter tonight ill be the happiest girl in the world youll see like it neer happened i can stop the tears if i want to i can stop the tears if i want to i can stop the tears if i want to but tonight ill be the happiest girl in the world youll see like it neer happened
128,129,20,Tally,BLACKPINK,i say fuck it when i feel it cause no ones keepin tally i do what i want with who i like i aint gon conceal it while you talkin all that shit ill be gettin mine gettin mine dont apologize for my behaior if youre offended i dont care starin at me stead of starin in the mirror little weird how eerybody tells me to play nice eerybody judge but looking twice but my body dont belong to nahuhuh none of them though and im not gonna change cause you say so i say fuck it when i feel it cause no ones keepin tally i do what i want with who i like i aint gon conceal it while you talkin all that shit ill be gettin mine gettin mine yeah i say fuck it when i feel it cause no ones keepin tally i do what i want with who i like and i aint gon conceal it ill just do it like the boys say im gettin mine gettin mine told me to play it cool i break the rules im breakin hearts in two warned me to make the rules or play the fool it aint that hard to choose take apart the dos and donts and lose the wonts im gettin mine mines is mine yours is mine this is mine get in line sometimes i like to go play dirty just like all of the fuck boys do thats my choice and theres no one im hurtin but thats not girly eerybody tells me to play nice eerybody judge but looking twice but my body dont belong to nahuhuh none of them though and im not gonna change cause you say so i say fuck it when i feel it cause no ones keepin tally i do what i want with who i like i aint gon conceal it while you talkin all that shit ill be gettin mine gettin mine yeah i say fuck it when i feel it cause no ones keepin tally i do what i want with who i like and i aint gon conceal it ill just do it like the boys say im gettin mine gettin mine yeah i say fuck it when i feel it and i aint gon conceal it
129,130,1,Still_Life,Bigbang,at sunset next year a blooming spring a midsummer nights dream feeling fall then winters snow four times a year spring comes again goodbye now to my beloed young days our beautiful spring summer fall winter four season with no reason after the rain instead of sadness comes a happy end a seencolored rainbow slanted like a sneer passed the seasons without maturing i cant mature still immature and long gone without maturing marchin ialdi tchaikosky greeting the seasons of today finally the four at last boy looking oer at the sky doing well throughout the four seasons goodbye those who left and those who came the world aboe our head im leaing inspirations amazon burying all the trauma from past nights a roundtrip ship running risking its life to start anew im going to change more than before a good person more and more a better person more and more with the morning dew burying my anger in the past for life do it away away away i miss the boy and girl who cried and laughed i keep remembering those glorious and loing days the seasons pass hopelessly as days go by going through our hearts by staining red and bruising blue for the day the moment that will come again someday for you our beautiful spring summer fall winter la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la at sunset next year a blooming spring a midsummer nights dream feeling fall then winters snow spring summer fall winter
130,131,2,Lies,Bigbang,yeah loe is pain dedicated to all my brokenhearted people ones old a flame just scream my name and im so sick of loe songs yeah i hate damn loe songs momento of ours lie a late night and rain falling down i bring you back from my memories i promised myself i would be fine without you but i cant help it i take in liquor which i dont een know how to handle trying to fill my empty heart a day without you is too long i pray that i may please forget you thats a lie without you happiness cannot be found in me i cant een shed any tears i dont want to lie anymore yeah this is bullshit its pissing me off im going crazy in thoughts of you i want to see you but im being told that i cant that its all oer ill be right there im so sorry but i loe you it was all lies i didnt know now i realized that i need you im so sorry but i loe you i gae you scars i should hae neer let you go to waste im so sorry but i loe you it was all lies im so sorry im sorry but i loe you i loe you more more im so sorry but i loe you can you leae me and forget me slowly so i can get hurt i dedicated my all into this song and sung for you other people probably dont know by myself without anyone knowing yeah those words i said were lies ie been left all alone keep roaming within the loneliness the note for break up crumpled in my pocket hey where are you the habit of calling you im gonna change ill laugh eerything off from now on im so sorry but i loe you it was all lies i didnt know now i realized that i need you im so sorry but i loe you i gae you scars i should hae neer let you go to waste im so sorry but i loe you it was all lies im so sorry im sorry but i loe you i loe you more more im so sorry but i loe you can you leae me and forget me slowly so i can get hurt oh oh oh oh oh i hope this is all a dream oh oh oh oh oh because i only add up to this much drop that babe i still cant forget you no i dont think i eer will een til the day i die yeah did the scars i gae you heal im sorry because i neer got to do anything for you im so sorry but i loe you it was all lies i didnt know now i realized that i need you im so sorry but i loe you i gae you scars i should hae neer let you go to waste im so sorry but i loe you it was all lies im so sorry im sorry but i loe you i loe you more more im so sorry but i loe you can you leae me and forget me slowly so i can get hurt
131,132,3,Last_Dance,Bigbang,loe that i thought would last foreer has set now een my friends are leaing because im getting older i guess im becoming an adult why am i so anxious people linger in the past again today the world goes around just fine een without me im still young im still immature why am i such a fool times that i was so happy een without anything it seems like yesterday but i came too far i dont remember it anymore because eerything was for the first time i was clumsy and filled with butterflies memories of those times are still like a dream but where am i going right now as i sing this song i will go back to you if only i could see the beautiful you again i will listen to this song with you and hae a last dance remember this moment until always just one last dance you became a faint light between the stars you became a star and you beckon me do i seem lonely because i am alone why are tears coming times that i was so happy een without anything it seems like yesterday but i came too far i dont remember it anymore because eerything was for the first time i was clumsy and filled with butterflies memories of those times are still like a dream but where am i going right now as i sing this song i will go back to you if only i could see the beautiful you again i will listen to this song with you and hae a last dance remember this moment until always just one last dance the music keeps playing im waiting for you right here please gie me a chance please just once then ill promise you it wont take too long as i sing this song as i sing this song i will go back to you if only i could see the beautiful you again i will listen to this song with you and hae a last dance remember this moment until always just one last dance i held your hand and danced with you last night the brightly shining the beautiful one last smile red orange yellow green the mysterious scene of ecstasy its not like the world that ie seen and felt i held your hand and danced with you last night the brightly shining the beautiful one last smile red orange yellow green the mysterious scene of ecstasy its not like the world that ie seen and felt
132,133,4,Always_(song),Bigbang,that first day we couldnt keep our eyes off each other as if time had stopped as if we were new to loe i een like your awkward expressions i hope youll be my friend i hope youll be my loer dont be scared that ill let go of your hand yeah yeah yeah as im staring at you een this moment is important to me thats why you gotta know girl my heart for you is blue i want to hug you like the sky when the dark windy rain blows dont worry oh oh oh youre always in my heart i want to gie you all of me when youre sad or tired i will hold you tight ah ah ah ah we will hae days when we fight thats how eeryone is we might een hurt each other when that happy smile is stained by your tears so many problems will try to separate us when i say im haing a hard time dont be scared yeah yeah yeah if im by your side i can get through any hardship thats why you gotta know always girl ye my heart for you is blue i want to hug you like the sky when the dark windy rain blows dont worry oh oh oh youre always in my heart i want to gie you all of me when youre sad or tired i will hold you tight ah ah ah ah baby i swear under the sky its just us two were like a needle and thread we push and shoe back and forth trust and cherish were in loe i will wipe your tears when it rains on your eyes i will fill you up with bright smiles go back cause you are my loe way back i wanna know you yo meetings seperation heartbreak thats how it goes its time for me to leae you no one knows but im different its like this you just need to follow me dont need any words our loe is enough the blue ocean the burning sun and you in my as thats sweet my heart for you is blue i want to hug you like the sky when the dark windy rain blows dont worry oh oh oh youre always in my heart i want to gie you all of me when youre sad or tired i will hold you tight ah ah ah ah
133,134,5,Bang_Bang_Bang,Bigbang,i awake with the black night eeryone come in whos turn is it next its an unpredictable crazy guerilla bow down in worship till your oice explodes switch up this loser atmosphere so they cant hide this insanity the dignity of men the pretense of women its interesting to see this kind of unknown confidence as if im showing off i shamelessly dig into your body like an allergy swaing around in a strange mind today this place is lawless ill set this place on fire to burn up your heart i wanna make you go crazy big yea we bang like this eeryone together like youe been shot bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang top gd nobody moe nobody moe nobody moe nobody moe lets see the end of this night see the end lets see the end of this night bang bang bang ill take you away right now when the red sky dances were spinning and spinning you and i this place is alhalla gie praise and spread it out louder we go hard were the nights watchmen run all night with space magic this song is the apex its so fun sing about the wonder loud screams are deilish melodies the connection to a black poison all around you get high and release the reins whoo ill set this place on fire to burn up your heart i wanna make you go crazy big yea we bang like this eeryone together like youe been shot bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang top gd nobody moe nobody moe nobody moe nobody moe lets see the end of this night see the end lets see the end of this night bang bang bang ready or not yea we dont gie a what ready or not yea we dont gie a what lets go guys go on top girls get low pull the trigger bang bang bang let the bass drum go guys go on top girls get low pull the trigger bang bang bang let the bass drum go bang bang bang bang bang bang let the bass drum go bang bang bang bang bang bang let the bass drum go
